SaleID,RetailerCountry,OrderMethod,RetailerType,ProductLine,ProductType,Product,Year,Quarter,Revenue,Quantity,GrossMargin
SaleID_88,Austria,Web,Sports Store,Camping Equipment,Sleeping Bags,Hibernator,2018,Q2 2018,37641.44,274,0.3869019
SaleID_89,Austria,,Sports Store,Camping Equipment,Sleeping Bags,Hibernator Self - Inflating Mat,2018,Q2 2018,43525.69,365,0.5540107
SaleID_90,Austria,,Sports Store,Personal Accessories,Sleeping Bags,Hibernator Pad,2018,Q2 2018,9129.47,231,0.52382196
SaleID_91,Austria,,Sports Store,Outdoor Protection,Packs,Canyon Mule Weekender Backpack,2018,Q2 2018,36648.64,138,0.38984669
SaleID_92,Austria,Web,Sports Store,Personal Accessories,Packs,Canyon Mule Extreme Backpack,2018,Q2 2018,26939.18,64,0.4581739
SaleID_93,Austria,Web,Sports Store,Mountaineering Equipment,Lanterns,Firefly Mapreader,2018,Q2 2018,5526.4,342,0.54007519
SaleID_94,Austria,Web,Sports Store,Camping Equipment,Lanterns,Firefly 4,2018,Q2 2018,3677.4,126,0.38608319
SaleID_95,Austria,Web,Sports Store,Camping Equipment,Watches,Mountain Man Deluxe,2018,Q2 2018,4640.82,60,0.51185209
SaleID_96,Austria,Web,Sports Store,Camping Equipment,Watches,Mountain Man Extreme,2018,Q2 2018,3561.88,14,0.60724774
SaleID_97,Austria,Web,Sports Store,Sports Equipment,Watches,Venue,2018,Q2 2018,81422,1116,0.42362387
SaleID_98,Austria,Sales visit,Sports Store,Sports Equipment,Woods,Hailstorm Titanium Woods Set,2018,Q2 2018,56256.54,49,0.43250716
SaleID_99,Austria,Sales visit,Sports Store,Personal Accessories,Putters,Course Pro Putter,2018,Q2 2018,29578,410,0.52695502
SaleID_100,Italy,Fax,Outdoors Shop,Outdoor Protection,Cooking Gear,TrailChef Cook Set,2018,Q2 2018,93062.99,1765,0.34681016
SaleID_101,Italy,Fax,Outdoors Shop,Camping Equipment,Tents,Star Dome,2018,Q2 2018,51494.56,86,0.36277197
SaleID_102,Italy,Fax,Outdoors Shop,Personal Accessories,Tents,Star Gazer 3,2018,Q2 2018,54194.85,87,0.3406202
SaleID_103,Italy,Fax,Outdoors Shop,Personal Accessories,Sleeping Bags,Hibernator Self - Inflating Mat,2018,Q2 2018,34074.92,286,0.5540107
SaleID_104,Italy,Fax,Outdoors Shop,Outdoor Protection,Packs,Canyon Mule Carryall,2018,Q2 2018,28012.36,406,0.41396584
SaleID_105,Italy,,Outdoors Shop,Camping Equipment,Lanterns,Firefly 4,2018,Q2 2018,,178,0.38608319
SaleID_106,Italy,Fax,Outdoors Shop,Sports Equipment,Rope,Husky Rope 50,2018,Q2 2018,51085.6,341,0.33905585
SaleID_107,Italy,Fax,Outdoors Shop,Outdoor Protection,Safety,Granite Signal Mirror,2018,Q2 2018,8439.1,363,0.39787879
SaleID_108,Italy,Fax,Outdoors Shop,Personal Accessories,Climbing Accessories,Granite Carabiner,2018,Q2 2018,9902.32,2609,0.4887234
SaleID_109,Italy,Fax,Outdoors Shop,Sports Equipment,Tools,Granite Grip,2018,Q2 2018,7195.2,364,0.50540816
SaleID_110,Italy,Fax,Outdoors Shop,Personal Accessories,Tools,Granite Axe,2018,Q2 2018,26020,677,0.50166667
SaleID_111,Italy,Fax,Outdoors Shop,Sports Equipment,Tools,Granite Extreme,2018,Q2 2018,34541.6,460,0.39138298
SaleID_112,Italy,Fax,Outdoors Shop,Mountaineering Equipment,Watches,Mountain Man Analog,2018,Q2 2018,5125.46,108,0.37722211
SaleID_113,Italy,Fax,Outdoors Shop,Outdoor Protection,Eyewear,Polar Sun,2018,Q2 2018,3455.32,57,0.58135236
SaleID_114,Italy,Fax,Outdoors Shop,Sports Equipment,Sunscreen,Sun Shield,2018,Q2 2018,5897.68,988,0.54061224
SaleID_115,Italy,E-mail,Sports Store,Camping Equipment,Cooking Gear,TrailChef Canteen,2018,Q2 2018,20062.45,1645,0.46514403
SaleID_116,Italy,E-mail,Sports Store,Personal Accessories,Cooking Gear,TrailChef Cup,2018,Q2 2018,7839.6,3520,0.62363636
SaleID_117,Italy,E-mail,Sports Store,Outdoor Protection,Cooking Gear,TrailChef Cook Set,2018,Q2 2018,0,668,
SaleID_118,Italy,E-mail,Sports Store,Personal Accessories,Irons,Lady Hailstorm Titanium Irons,2018,Q2 2018,44391.04,55,0.45955007
SaleID_119,Italy,E-mail,Sports Store,Outdoor Protection,Woods,Hailstorm Titanium Woods Set,2018,Q2 2018,71789.2,62,0.43250716
SaleID_120,Italy,Web,Mall,Mountaineering Equipment,Watches,Venue,2018,Q2 2018,15503,213,0.42629033
SaleID_121,Italy,Web,Mall,Camping Equipment,Watches,Infinity,2018,Q2 2018,56329,250,0.47276548
SaleID_122,Italy,Web,Mall,Camping Equipment,Watches,Lux,2018,Q2 2018,35993.2,212,0.48558702
SaleID_123,Italy,Web,Mall,Mountaineering Equipment,Putters,Course Pro Putter,2018,Q2 2018,43666.75,605,0.52695502
SaleID_124,Italy,Web,Department Store,Camping Equipment,Lanterns,EverGlow Lamp,2018,Q2 2018,17032.25,763,0.5605618
SaleID_125,Italy,Web,Department Store,Outdoor Protection,Navigation,Astro Pilot,2018,Q2 2018,15035,105,0.38662069
SaleID_126,Italy,Web,Department Store,Outdoor Protection,Navigation,Sky Pilot,2018,Q2 2018,18000,52,0.34706704
SaleID_127,Italy,Web,Department Store,Mountaineering Equipment,Insect Repellents,BugShield Spray,2018,Q2 2018,4276.01,711,0.6993039
SaleID_128,Italy,Web,Department Store,Camping Equipment,Insect Repellents,BugShield Lotion Lite,2018,Q2 2018,5007,703,0.74142857
SaleID_129,Italy,Web,Department Store,Camping Equipment,Insect Repellents,BugShield Lotion,2018,Q2 2018,9889.22,1429,0.67034985
SaleID_130,Italy,Web,Outdoors Shop,Personal Accessories,Cooking Gear,TrailChef Cook Set,2018,Q2 2018,0,202,
SaleID_131,Italy,Web,Outdoors Shop,Personal Accessories,Tools,Granite Grip,2018,Q2 2018,16407.2,834,0.50540816
SaleID_132,Italy,Web,Outdoors Shop,Camping Equipment,Tools,Granite Axe,2018,Q2 2018,46756,1217,0.50166667
SaleID_133,Italy,Web,Outdoors Shop,Camping Equipment,Navigation,Trail Master,2018,Q2 2018,7765,23,0.36082192
SaleID_134,Italy,Web,Discount Retailer,Mountaineering Equipment,Eyewear,Retro,2018,Q2 2018,11377,182,0.45070231
SaleID_135,Italy,Web,Sports Store,Mountaineering Equipment,Cooking Gear,TrailChef Single Flame,2018,Q2 2018,35622.16,568,0.27099426
SaleID_136,Italy,Web,Sports Store,Sports Equipment,Cooking Gear,TrailChef Double Flame,2018,Q2 2018,28061.36,198,0.4842745
SaleID_137,Italy,Web,Sports Store,Outdoor Protection,Tents,Star Lite,2018,Q2 2018,23758.56,70,0.29144401
SaleID_138,Italy,Web,Sports Store,Mountaineering Equipment,Packs,Canyon Mule Extreme Backpack,2018,Q2 2018,45553.45,107,0.4581739
SaleID_139,Italy,Web,Sports Store,Personal Accessories,Lanterns,EverGlow Kerosene,2018,Q2 2018,6778.72,218,0.36316947
SaleID_140,Italy,Web,Sports Store,Sports Equipment,Watches,Venue,2018,Q2 2018,19591,269,0.42558873
SaleID_141,Italy,Sales visit,Warehouse Store,Mountaineering Equipment,Cooking Gear,TrailChef Water Bag,2018,Q2 2018,17716.74,2848,0.5366559
SaleID_142,Italy,Sales visit,Warehouse Store,Personal Accessories,Cooking Gear,TrailChef Canteen,2018,Q2 2018,10573.3,864,0.46514403
SaleID_143,Italy,Sales visit,Warehouse Store,Personal Accessories,Cooking Gear,TrailChef Double Flame,2018,Q2 2018,27062.74,191,0.4842745
SaleID_144,Italy,Sales visit,Warehouse Store,Personal Accessories,Tents,Star Lite,2018,Q2 2018,116305.28,336,0.29144401
SaleID_145,Italy,Sales visit,Warehouse Store,Personal Accessories,Tents,Star Gazer 2,2018,Q2 2018,99192.07,183,0.29293788
SaleID_146,Italy,Other,Mall,Camping Equipment,Woods,Lady Hailstorm Titanium Woods Set,2018,Q2 2018,51225.6,42,0.49311609
SaleID_147,Italy,Other,Mall,Mountaineering Equipment,Woods,Lady Hailstorm Steel Woods Set,2018,Q2 2018,39483.82,48,0.45845066
SaleID_148,Spain,Phone,Department Store,Personal Accessories,Cooking Gear,TrailChef Canteen,2018,Q2 2018,9273.25,757,0.46514403
SaleID_149,Spain,Phone,Department Store,Camping Equipment,Cooking Gear,TrailChef Kettle,2018,Q2 2018,49339.07,3946,0.60069414
SaleID_150,Spain,Phone,Department Store,Camping Equipment,Tents,Star Lite,2018,Q2 2018,19235.6,57,0.29144401
SaleID_151,Spain,Phone,Department Store,Outdoor Protection,Tents,Star Dome,2018,Q2 2018,12597,22,0.3762479
SaleID_152,Spain,Web,Mall,Outdoor Protection,Eyewear,Cat Eye,2018,Q2 2018,16432.95,551,0.3307063
SaleID_153,Spain,Web,Mall,Personal Accessories,Eyewear,Dante,2018,Q2 2018,17464.6,398,0.35648653
SaleID_154,Spain,Web,Mall,Sports Equipment,Eyewear,Fairway,2018,Q2 2018,,,
SaleID_155,Spain,Web,Mall,Camping Equipment,Eyewear,Inferno,2018,Q2 2018,5040,78,0.40307692
SaleID_156,Spain,Web,Mall,Camping Equipment,Eyewear,Maximus,2018,Q2 2018,8020,101,0.499625
SaleID_157,Spain,Web,Mall,Mountaineering Equipment,Eyewear,Trendi,2018,Q2 2018,9908.5,197,0.4044334
SaleID_158,Spain,Web,Mall,Personal Accessories,Eyewear,Zone,2018,Q2 2018,14879.6,486,0.32737259
SaleID_159,United States,Fax,Outdoors Shop,Camping Equipment,Sleeping Bags,Hibernator Extreme,2018,Q3 2018,72376.7,292,0.40814629
SaleID_160,United States,Fax,Outdoors Shop,Camping Equipment,Sleeping Bags,Hibernator Self - Inflating Mat,2018,Q3 2018,38860.12,326,0.5540107
SaleID_161,United States,Phone,Department Store,Camping Equipment,Eyewear,Polar Sports,2018,Q3 2018,7943.12,70,0.49950928
SaleID_162,United States,Phone,Department Store,Personal Accessories,Eyewear,Polar Wave,2018,Q3 2018,4735.72,51,0.5753577
SaleID_163,United States,Phone,Warehouse Store,Outdoor Protection,Sleeping Bags,Hibernator Extreme,2018,Q3 2018,82345.9,332,0.40814629
SaleID_164,United States,Phone,Warehouse Store,Sports Equipment,Packs,Canyon Mule Extreme Backpack,2018,Q3 2018,55509.92,130,0.4581739
SaleID_165,United States,Phone,Outdoors Shop,Mountaineering Equipment,Tools,Granite Grip,2018,Q3 2018,26870.6,1373,0.50350444
SaleID_166,United States,Phone,Outdoors Shop,Camping Equipment,Tools,Granite Axe,2018,Q3 2018,80701.6,2101,0.50166667
SaleID_167,United States,Phone,Outdoors Shop,Sports Equipment,Tools,Granite Extreme,2018,Q3 2018,111170.4,1479,0.39138298
SaleID_168,United States,Phone,Outdoors Shop,Mountaineering Equipment,First Aid,Calamine Relief,2018,Q3 2018,634,91,0.53833333
SaleID_169,United States,Phone,Outdoors Shop,Mountaineering Equipment,First Aid,Insect Bite Relief,2018,Q3 2018,1960,312,0.55
SaleID_170,United States,Phone,Discount Retailer,Personal Accessories,Watches,Mountain Man Analog,2018,Q3 2018,31810.67,669,0.37898211
SaleID_171,United States,Phone,Sports Store,Sports Equipment,Eyewear,Maximus,2018,Q3 2018,40590,495,0.51347888
SaleID_172,United States,Phone,Sports Store,Personal Accessories,Eyewear,Trendi,2018,Q3 2018,22181.7,441,0.40069456
SaleID_173,United States,Mail,Warehouse Store,Outdoor Protection,Binoculars,Seeker Mini,2018,Q3 2018,4121.5,52,0.51267313
SaleID_174,United States,Sales visit,Outdoors Shop,Sports Equipment,Rope,Husky Rope 50,2018,Q3 2018,7920.8,54,0.33905585
SaleID_175,United States,Sales visit,Outdoors Shop,Mountaineering Equipment,Rope,Husky Rope 60,2018,Q3 2018,6237,36,0.30911357
SaleID_176,United States,Sales visit,Outdoors Shop,Personal Accessories,First Aid,Insect Bite Relief,2018,Q3 2018,586,83,0.55
SaleID_177,United States,Other,Outdoors Shop,Outdoor Protection,Cooking Gear,TrailChef Deluxe Cook Set,2018,Q3 2018,50583.16,416,0.35754797
SaleID_178,United States,Other,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Kettle,2018,Q3 2018,23687.68,1880,0.60315287
SaleID_179,United States,Other,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Utensils,2018,Q3 2018,18679.03,995,0.47552646
SaleID_180,United States,Other,Outdoors Shop,Outdoor Protection,Climbing Accessories,Granite Carabiner,2018,Q3 2018,23976,6352,0.4887234
SaleID_181,United States,Other,Outdoors Shop,Outdoor Protection,Climbing Accessories,Granite Belay,2018,Q3 2018,38658.8,588,0.48613982
SaleID_182,United States,Other,Outdoors Shop,Mountaineering Equipment,Climbing Accessories,Granite Pulley,2018,Q3 2018,33675.66,923,0.50664876
SaleID_183,United States,Other,Outdoors Shop,Personal Accessories,Watches,Mountain Man Combination,2018,Q3 2018,5965.93,65,0.52670068
SaleID_184,United States,Other,Outdoors Shop,Camping Equipment,Watches,Mountain Man Extreme,2018,Q3 2018,6599.8,25,0.5988535
SaleID_185,United States,Other,Outdoors Shop,Personal Accessories,Eyewear,Polar Sun,2018,Q3 2018,2559.18,43,0.57402134
SaleID_186,United States,Other,Outdoors Shop,Personal Accessories,Knives,Bear Survival Edge,2018,Q3 2018,8341.25,97,0.49126801
SaleID_187,United States,Other,Outdoors Shop,Camping Equipment,Navigation,Glacier Deluxe,2018,Q3 2018,12881.65,143,0.38970215
SaleID_188,United States,Other,Outdoors Shop,Sports Equipment,Navigation,Glacier GPS Extreme,2018,Q3 2018,36606.16,110,0.4879303
SaleID_189,United States,Other,Outdoors Shop,Sports Equipment,Sunscreen,Sun Shelter 15,2018,Q3 2018,6880.3,1400,0.64092784
SaleID_190,Canada,Phone,Warehouse Store,Camping Equipment,Watches,TX,2018,Q3 2018,34880,187,0.44702128
SaleID_191,Canada,Phone,Sports Store,Outdoor Protection,Cooking Gear,TrailChef Single Flame,2018,Q3 2018,25266.76,403,0.27099426
SaleID_192,Canada,Phone,Sports Store,Sports Equipment,Tents,Star Gazer 2,2018,Q3 2018,104119.3,192,0.29293788
SaleID_193,Canada,Phone,Sports Store,Camping Equipment,Tents,Star Peg,2018,Q3 2018,3099.7,1517,0.50494949
SaleID_194,Canada,Phone,Sports Store,Camping Equipment,Lanterns,EverGlow Kerosene,2018,Q3 2018,5541.92,178,0.36316947
SaleID_195,Canada,Phone,Sports Store,Personal Accessories,Eyewear,Polar Sun,2018,Q3 2018,1918,32,0.57848185
SaleID_196,Canada,Phone,Sports Store,Camping Equipment,Insect Repellents,BugShield Spray,2018,Q3 2018,4087.53,679,0.6993039
SaleID_197,Canada,Phone,Sports Store,Sports Equipment,First Aid,Calamine Relief,2018,Q3 2018,,71,0.53833333
SaleID_198,Canada,Phone,Sports Store,Personal Accessories,Woods,Hailstorm Titanium Woods Set,2018,Q3 2018,72984.02,63,0.43250716
SaleID_199,Canada,Phone,Sports Store,Mountaineering Equipment,Woods,Lady Hailstorm Steel Woods Set,2018,Q3 2018,31778.29,39,0.45845066
SaleID_200,Canada,Mail,Outdoors Shop,Sports Equipment,Cooking Gear,TrailChef Water Bag,2018,Q3 2018,13625.15,2187,0.5366559
SaleID_201,Canada,Mail,Outdoors Shop,Outdoor Protection,Cooking Gear,TrailChef Canteen,2018,Q3 2018,6575.95,535,0.46514403
SaleID_202,Canada,Mail,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Kettle,2018,Q3 2018,15746.77,1235,0.60732072
SaleID_203,Canada,Mail,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Utensils,2018,Q3 2018,12280.21,653,0.47552646
SaleID_204,Canada,Mail,Outdoors Shop,Camping Equipment,Tents,Star Lite,2018,Q3 2018,117349.04,339,0.29144401
SaleID_205,Canada,Mail,Outdoors Shop,Camping Equipment,Tents,Star Gazer 3,2018,Q3 2018,55467.67,89,0.3406202
SaleID_206,Canada,Mail,Outdoors Shop,Personal Accessories,Packs,Canyon Mule Extreme Backpack,2018,Q3 2018,37328.54,88,0.4581739
